iter	Passed	Remaining
0	34	10247
1	93	13953
2	133	13183
3	150	11136
4	167	9876
5	184	9052
6	202	8486
7	230	8402
8	263	8523
9	286	8308
10	311	8186
11	335	8062
12	352	7783
13	379	7755
14	397	7558
15	418	7434
16	453	7546
17	489	7669
18	510	7552
19	530	7428
20	562	7466
21	619	7825
22	647	7798
23	680	7825
24	698	7682
25	714	7534
26	730	7390
27	747	7261
28	761	7119
29	780	7028
30	799	6936
31	818	6856
32	839	6794
33	866	6777
34	924	7002
35	1007	7384
36	1040	7393
37	1071	7389
38	1127	7546
39	1155	7513
40	1167	7374
41	1182	7264
42	1198	7162
43	1200	6987
44	1215	6890
45	1233	6813
46	1248	6720
47	1274	6689
48	1288	6599
49	1299	6498
50	1314	6419
51	1330	6345
52	1332	6209
53	1348	6144
54	1365	6081
55	1368	5962
56	1381	5890
57	1399	5838
58	1413	5775
59	1430	5723
60	1446	5666
61	1462	5615
62	1477	5558
63	1492	5503
64	1495	5406
65	1521	5392
66	1542	5363
67	1558	5317
68	1573	5266
69	1588	5220
70	1604	5174
71	1621	5133
72	1636	5090
73	1653	5049
74	1668	5005
75	1683	4961
76	1702	4929
77	1718	4891
78	1734	4851
79	1749	4810
80	1762	4766
81	1776	4722
82	1791	4684
83	1807	4648
84	1823	4612
85	1837	4573
86	1873	4586
87	1926	4640
88	2001	4745
89	2055	4796
90	2116	4860
91	2162	4888
92	2183	4859
93	2198	4817
94	2211	4773
95	2228	4736
96	2245	4698
97	2257	4653
98	2269	4608
99	2283	4567
100	2298	4529
101	2312	4489
102	2329	4456
103	2345	4419
104	2361	4385
105	2376	4349
106	2394	4318
107	2410	4285
108	2431	4261
109	2449	4231
110	2463	4195
111	2480	4163
112	2495	4129
113	2510	4095
114	2527	4065
115	2545	4037
116	2560	4004
117	2575	3971
118	2591	3942
119	2609	3914
120	2624	3882
121	2641	3854
122	2656	3822
123	2675	3798
124	2693	3770
125	2708	3740
126	2725	3712
127	2740	3682
128	2755	3652
129	2770	3622
130	2781	3588
131	2796	3559
132	2812	3531
133	2828	3503
134	2895	3538
135	2928	3531
136	2945	3504
137	2971	3488
138	2986	3459
139	3002	3431
140	3023	3410
141	3041	3384
142	3057	3356
143	3072	3328
144	3089	3302
145	3105	3276
146	3122	3249
147	3139	3224
148	3170	3213
149	3187	3187
150	3203	3160
151	3219	3134
152	3236	3109
153	3251	3082
154	3266	3055
155	3281	3028
156	3296	3002
157	3311	2975
158	3326	2949
159	3340	2922
160	3353	2895
161	3369	2870
162	3385	2845
163	3401	2820
164	3416	2795
165	3437	2774
166	3452	2749
167	3467	2724
168	3481	2699
169	3496	2673
170	3516	2652
171	3531	2628
172	3546	2603
173	3562	2579
174	3576	2554
175	3591	2530
176	3605	2505
177	3618	2480
178	3634	2456
179	3649	2432
180	3663	2408
181	3679	2385
182	3694	2361
183	3707	2337
184	3725	2316
185	3740	2292
186	3753	2267
187	3765	2243
188	3781	2220
189	3796	2198
190	3811	2175
191	3863	2173
192	3906	2165
193	3978	2173
194	4103	2209
195	4255	2257
196	4292	2244
197	4320	2225
198	4359	2212
199	4397	2198
200	4410	2172
201	4427	2148
202	4444	2123
203	4458	2098
204	4473	2072
205	4488	2048
206	4504	2023
207	4519	1998
208	4533	1974
209	4549	1949
210	4564	1925
211	4577	1900
212	4594	1876
213	4605	1850
214	4622	1827
215	4635	1802
216	4650	1778
217	4665	1754
218	4681	1731
219	4695	1707
220	4711	1684
221	4724	1659
222	4742	1637
223	4753	1612
224	4768	1589
225	4786	1567
226	4810	1547
227	4848	1531
228	4912	1522
229	4979	1515
230	5046	1507
231	5079	1488
232	5109	1469
233	5136	1448
234	5153	1425
235	5170	1402
236	5183	1377
237	5202	1355
238	5218	1331
239	5231	1307
240	5244	1283
241	5259	1260
242	5275	1237
243	5291	1214
244	5315	1193
245	5335	1171
246	5350	1148
247	5373	1126
248	5391	1104
249	5408	1081
250	5424	1058
251	5440	1036
252	5456	1013
253	5471	990
254	5488	968
255	5505	946
256	5521	923
257	5537	901
258	5552	878
259	5567	856
260	5583	834
261	5600	812
262	5616	790
263	5632	768
264	5648	746
265	5663	723
266	5679	701
267	5694	679
268	5705	657
269	5721	635
270	5741	614
271	5754	592
272	5770	570
273	5788	549
274	5824	529
275	5856	509
276	5885	488
277	5928	469
278	5973	449
279	6017	429
280	6044	408
281	6087	388
282	6103	366
283	6113	344
284	6130	322
285	6146	300
286	6163	279
287	6182	257
288	6222	236
289	6239	215
290	6256	193
291	6289	172
292	6318	150
293	6334	129
294	6354	107
295	6372	86
296	6392	64
297	6407	43
298	6422	21
299	6438	0
