,satisfaction,evaluation,projectCount,averageMonthlyHours,yearsAtCompany,workAccident,turnover,promotion,dept,salary
0,0.06,0.12,6,155,8,0,1,0,3,0
1,0.73,0.51,5,144,8,1,0,0,2,0
2,0.75,0.99,4,284,4,0,1,0,5,1
3,0.59,0.95,6,272,9,0,1,1,6,1
4,0.29,0.17,7,113,3,0,0,1,6,1
5,0.08,0.37,6,126,6,0,0,1,6,2
6,0.64,0.12,3,291,7,1,0,1,6,2
7,0.69,0.33,5,165,9,1,0,1,0,2
8,0.81,0.52,5,251,10,0,0,1,5,2
9,0.22,0.14,6,310,7,0,0,0,6,1
10,0.83,0.7,6,135,2,1,1,1,0,2
11,0.45,0.58,6,143,3,0,1,1,2,1
12,0.04,0.01,1,148,2,0,0,0,4,0
13,0.73,0.12,5,190,5,0,0,0,8,0
14,0.04,0.94,3,234,4,0,1,0,3,0
15,0.09,0.23,4,139,9,0,0,0,1,2
16,0.66,0.13,7,144,6,1,0,1,9,1
17,0.53,0.71,4,212,4,0,1,0,8,1
18,0.95,0.63,2,155,6,1,1,0,2,2
19,0.95,0.73,3,222,6,1,1,0,1,1
20,0.93,0.87,1,110,4,0,1,0,2,2
21,0.21,0.91,4,295,8,1,0,1,1,2
22,0.48,0.08,4,98,2,1,1,0,4,0
23,0.1,0.99,5,99,7,1,0,0,1,0
24,0.14,0.53,2,308,7,1,0,0,3,1
25,0.77,0.87,7,168,5,0,0,0,2,1
26,0.77,0.09,4,206,5,1,0,1,5,2
27,0.78,0.65,7,179,10,1,1,1,4,1
28,0.05,0.64,6,213,10,1,1,0,2,1
29,0.32,0.34,3,148,5,1,0,1,3,0
30,0.3,0.21,2,163,10,1,1,0,2,2
31,0.83,0.92,7,287,5,1,1,1,8,0
32,0.91,0.24,4,240,9,0,1,0,5,0
33,0.66,0.14,4,134,8,0,0,1,7,0
34,0.08,0.36,6,230,4,1,1,1,6,0
35,0.95,0.42,1,169,3,0,1,0,4,1
36,0.69,0.62,1,146,7,1,1,0,6,0
