iter	MultiClass
0	0.4962419338
1	0.3785307052
2	0.2932025143
3	0.2324953811
4	0.1917858235
5	0.1608156774
6	0.1373016637
7	0.1213060852
8	0.109368514
9	0.09925947561
10	0.09235972508
11	0.08611237218
12	0.08088653603
13	0.07610839125
14	0.07264760696
15	0.07029488347
16	0.06686869073
17	0.06365179022
18	0.06146213708
19	0.05941526829
20	0.05798754284
21	0.05566604115
22	0.05442493315
23	0.05292735581
24	0.05164555768
25	0.05012301275
26	0.04868457533
27	0.04808415748
28	0.04685365537
29	0.0463890015
