iter	Passed	Remaining
0	351	105191
1	611	91103
2	876	86774
3	1136	84064
4	1410	83235
5	1667	81706
6	1933	80929
7	2196	80161
8	2517	81390
9	2812	81575
10	3147	82682
11	3494	83879
12	3779	83431
13	4116	84097
14	4454	84643
15	4731	83975
16	5004	83315
17	5356	83911
18	5627	83224
19	5893	82502
20	6166	81920
21	6444	81439
22	6740	81178
23	7004	80550
24	7318	80506
25	7662	80751
26	8038	81277
27	8574	83292
28	8717	81462
29	9089	81808
30	9387	81462
31	9648	80807
32	9912	80198
33	10172	79584
34	10454	79156
35	10724	78645
36	10992	78136
37	11310	77983
38	11633	77852
39	11906	77389
40	12165	76852
41	12312	75632
42	12575	75158
43	12837	74688
44	13139	74459
45	13428	74150
46	13692	73705
47	13951	73245
48	14218	72835
49	14354	71773
50	14615	71358
51	14727	70241
52	14995	69886
53	15271	69571
54	15533	69194
55	15802	68854
56	16061	68472
57	16355	68241
58	16616	67872
59	16960	67840
60	17073	66893
61	17671	67834
62	18040	67867
63	18522	68302
64	18791	67937
65	19290	68392
66	19605	68181
67	19908	67921
68	20262	67836
69	20542	67498
70	21111	68093
71	21395	67751
72	21660	67354
73	21775	66502
74	22204	66613
75	22675	66833
76	23015	66656
77	23319	66370
78	23579	65961
79	23937	65827
80	24162	65328
81	24506	65152
82	24799	64838
83	25066	64457
84	25352	64127
85	25612	63732
86	25875	63349
87	26134	62960
88	26403	62597
89	26663	62215
90	26922	61832
91	27191	61475
92	27453	61107
93	27717	60742
94	28027	60480
95	28327	60195
96	28585	59823
97	28844	59455
98	29107	59097
99	29241	58483
100	29535	58194
101	29795	57838
102	29948	57279
103	30228	56968
104	30500	56643
105	30774	56323
106	31034	55977
107	31336	55709
108	31594	55363
109	31709	54770
110	32067	54601
111	32565	54664
112	32801	54281
113	33063	53946
114	33372	53685
115	33701	53458
116	33972	53137
117	34251	52828
118	34425	52361
119	34710	52065
120	35055	51859
121	35349	51574
122	35618	51255
123	35954	51031
124	36227	50718
125	36372	50228
126	36633	49902
127	36898	49582
128	37179	49284
129	37483	49017
130	37781	48741
131	38041	48416
132	38253	48032
133	38528	47729
134	38802	47424
135	39073	47118
136	39363	46834
137	39651	46547
138	39928	46247
139	40250	46000
140	40525	45699
141	40809	45407
142	41089	45112
143	41385	44834
144	41725	44603
145	41993	44294
146	42300	44026
147	42566	43717
148	42876	43452
149	43276	43276
150	43544	42967
151	43815	42662
152	44078	42350
153	44364	42059
154	44675	41792
155	44941	41484
156	45282	41244
157	45551	40938
158	45858	40666
159	46141	40373
160	46431	40086
161	46694	39776
162	47001	39504
163	47341	39259
164	47618	38960
165	47878	38649
166	48148	38346
167	48417	38042
168	48710	37757
169	48987	37461
170	49311	37199
171	49572	36891
172	49854	36598
173	50148	36314
174	50436	36025
175	50724	35737
176	50985	35430
177	51308	35166
178	51651	34915
179	51916	34610
180	52263	34360
181	52632	34124
182	52919	33833
183	53199	33538
184	53476	33241
185	53749	32943
186	54069	32672
187	54346	32376
188	54716	32135
189	54995	31839
190	55315	31567
191	55611	31281
192	56093	31098
193	56371	30800
194	56658	30508
195	56939	30212
196	57249	29932
197	57545	29644
198	57884	29378
199	58175	29087
200	58442	28785
201	58704	28480
202	58966	28175
203	59262	27888
204	59550	27596
205	59820	27296
206	60097	27000
207	60387	26709
208	60687	26423
209	61119	26193
210	61451	25920
211	61790	25649
212	62054	25346
213	62365	25062
214	62840	24843
215	63294	24614
216	63561	24311
217	63897	24034
218	64193	23742
219	64483	23448
220	64756	23148
221	65016	22843
222	65283	22541
223	65597	22256
224	65905	21968
225	66294	21707
226	66632	21428
227	66899	21126
228	67218	20840
229	67587	20570
230	67983	20306
231	68356	20035
232	68657	19742
233	68917	19438
234	69273	19160
235	69632	18883
236	69952	18594
237	70263	18303
238	70524	17999
239	70802	17700
240	71071	17399
241	71396	17111
242	71737	16827
243	72035	16532
244	72417	16256
245	72915	16005
246	73359	15741
247	73700	15453
248	74036	15164
249	74428	14885
250	74778	14598
251	75119	14308
252	75552	14035
253	75913	13748
254	76283	13461
255	76689	13181
256	77039	12889
257	77403	12600
258	77787	12313
259	78260	12040
260	78612	11746
261	78960	11452
262	79425	11173
263	79772	10878
264	80156	10586
265	80492	10288
266	80831	9990
267	81202	9695
268	81542	9397
269	81890	9098
270	82316	8808
271	82670	8510
272	83011	8209
273	83364	7910
274	83806	7618
275	84176	7319
276	84506	7016
277	84920	6720
278	85278	6418
279	85614	6115
280	85947	5811
281	86389	5514
282	86726	5209
283	87070	4905
284	87496	4605
285	87859	4300
286	88240	3996
287	88578	3690
288	88906	3383
289	89267	3078
290	89678	2773
291	90114	2468
292	90469	2161
293	90848	1854
294	91244	1546
295	91610	1237
296	91947	928
297	92314	619
298	92716	310
299	93122	0
